0
Brazil: Bolsonaro supporters storm National Congress – DW – 01/08/2023, par thereneverwasaname
Creepy :|, par willzy420
From big brother to best friend, par westcoastcdn19
Almost had him, par Isabemk
My husband playing God of War on his Christmas PS5 with some pizza and chicken nuggets for lunch. I feel like he is in his happy place, par EmptySetCoffeeCakes
Facts Don’t Care About Your Feelings, par BeautifulDesigner78
Inventor of the world wide web wants us to reclaim our data from tech giants, par grab-n-g0
I asked for a raise on Tuesday and received this text message yesterday morning…, par ItsMyCandyStore
Astronaut Includes His Rescued Dogs in Best Official NASA Portrait Ever, par starman012
why did the customer that shot the criminal flee the scene?, par captainrustysail
What is game?, par JuniorPC0623
me irl, par SecretlyNSA
A friend brought a 100 sided dice during our D&D session, par Icemobius
Mirror mirror on the wall, par noctemics
A cardinal in Nebraska goes zoom, par Tannrr
I found this hat in my apartment this morning- I live alone, and it’s not my hat, par JeSuisRosanna
Single-use plastic cutlery and plates to be banned in England, par davetowers646
the kids face when he realizes he got caught, par Aggravating_Air_3138
THE CHICAGO BEARS GET THE 1st OVERALL PICK IN THE 2023 NFL DRAFT UPVOTE PARTY!, par SadMathematician7799
Winter at the Grand Canyon [OC] [2755x4308], par OfficialSteveKitten
In light of recent events, par StormTheHatPerson
explain how tf that works, par ___yiwshhj
Add a 15% service charge and then have the nerve to ask for a tip on top of that…only in America, par udontwantdis
This is Lala (the rescue called her Mrs. Burns). It doesn’t matter what she’s doing, she always looks derpy with her smile., par Same-Explanation-595
Man’s Cure, par LuvYouLongTimeAgo
13 hours later. He has barely written 30 lines. [update on the 5mins post], par lonaExe
Getting ready for date, par subodh_2302
Black-ish, Jew-ish, Gay-ish, White Supremacist-ish - Republican., par Travismatthew08
LPT: When buying a home never underestimate the impact of storage space., par karacold
Amazonian arm wrestling can be quite “uplifting”, par GreenSloth75
George Santos accused of flashing white power symbol during House speaker vote, par theombudsmen
Tax breaks for the rich & budget cuts for the rest of us, par MemeNoOffense
one of the old guys down at the bar showed me this sweet picture of him in his 1981 camaro z28., par turbocharged_autism
2000's Edgy Christian Teen Starter Pack, par Historical-Meat-7841
Gone too far, par hey_rowsdower
‘Avatar: The Way of Water’ Takes Down ‘Jurassic World’ as Seventh-Highest Grossing Film in History With $1.7 Billion, par DemiFiendRSA
Horse with eyes on front of its head, par Better_Weakness7239
if I pour a flammable liquid straight into the fire?, par RedTomatoSauce
As more automakers put factory features behind paywall, we’re racing towards a bleak future, par King-of-New-York
TIL: At the second Tour de France, the first four finishers were disqualified because they took the train, par BenFilippo
Clean your house before you criticize others, par techn9neiskod
I just love coming home after work. [OC], par realmxgu
Lettuce begin the countdown!, par ElysiumSprouts
Late night donuts, par frannyeerroo
bUt It DiSrUpTs ThE EcOnOmY, par Terrible_Cut_3336
Abortion associated with lower psychological distress compared to both adoption and unwanted birth, study finds, par chrisdh79
I made wooden hair pin with fox, par sdwoodwork
I pointed my backyard telescope into deep space and took pictures of this tiny patch of sky for 32 hours to reveal galaxies at mind-boggling distances … millions to billions of light years away. [OC], par TheVastReaches
Girlfriend wanted an open relationship so I broke up with her, now she wants to get back together., par prettiergenghis
Moving countries and my son was heart broken about choosing who to take and who got left behind since he only gets 1 suitcase, par kassiaethne
Relatable, par not-worth-mentioning
poor guy, poor poor guy, par AllHopeGoneBaby
stay hydrated my dudes!, par Cheeseisatypeofmeat
Shark Lava and Boy Girl, the inverted heroes, par DerMagicSheep
Life isn't fair and no amount of whining will fix that, par granitestable
This giant banana, banana on the left for scale, par GoldenChinchilla
PVC hydraulic jack, par xwingx
blessed jumbo, par merry_designation52
Brad better hide, par Piyuditi
Thought this might be good here, par Amazing_human_7079
Do you remember when Captain America laughed at Superman, par SamirZero
Make A Wish doesn't disappoint., par Cemeterywind666
This is so terrible…, par Sgtoreoz1
gUY gETs HanD mAUleD bY LaRgE dOg DEsPITe waRnINg!!, par greninjack24
Prominent anti-trans activist mocked after realizing that transphobic Christians hate gay people., par Leeming
The US should break up monopolies – not punish working Americans for rising prices, par zzill6
Maybe Maybe Maybe, par sometimesisleeptoo
The board is set, the pieces are moving, par Opdragon25
Every time I hear about Elon in the news now, par vigo_the_despised
The only accurate JoJo Tier List, par rkoplayer1
Cool wrist stretching guide., par astridecatch
Blursed 1980s Live-Action Shrek, par DuoDemoIi
🔥Hermit crab using a discarded doll head for a shell🔥, par hoarselyBoom
The glass is full, par TheGayGuy_GER
Red alert means all is well, par robot_cook
I think we need to check up on Mr. Kim, par lazy_tranquil
me_irl, par applesandshenanigans
A friend on Facebook posted these wise words..., par p38-lightning
I used to volunteer at a parrot sanctuary. He was happy until he wasn’t, par Peircen20
I found a 3D print that fixes PC cases with bad airflow to the GPU. You just need tow free PCI Slots and two 40mm fans., par seppdepp121
[OC] Revision of my last Country Distribution + EU aggregated into one slice, par chartbear
inspirational fujimoto quote, par GattsuBerserker
Green Light, My oil painting, par kznsq
Show me your wiener, par Feeling-Tiger6165
"Giannis once he sees just a few reporters at his post practice interview: ""Once you start losing a few games...only the real ones are here. I hope it's this many people also when we win a championship"", par De_Bananalove"
